Cereal Name,Manufacturer,Type,Calories,Protein (g),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
100%_bran,nabisco,c,70,4,1,130,10,5,6,3,280,25,1,0.33
100%_natural_bran,quaker oats,c,120,3,5,15,2,8,8,3,135,0,1,0.80
all-bran,kelloggs,c,70,4,1,260,9,7,5,3,320,25,1,0.33
all-bran_with_extra_fiber,kelloggs,c,50,4,0,140,14,8,0,3,330,25,1,0.5
almond_delight,ralston purina,c,110,2,2,200,1,14,8,3,95.28,25,1,0.75
apple_cinnamon_cheerios,general mills,c,110,2,2,180,1.5,10.5,10,1,70,25,1,0.75
apple_jacks,kelloggs,c,110,2,0,125,1,11,14,2,30,25,1,1
basic_4,general mills,c,130,3,2,210,2,18,8,3,100,25,1.33,0.75
bran_chex,ralston purina,c,90,2,1,200,4,15,6,1,125,25,1,0.67
bran_flakes,post,c,90,3,0,210,5,13,5,3,190,25,1,0.67
cap'n'crunch,quaker oats,c,120,1,2,220,0,12,12,2,35,25,1,0.75
cheerios,general mills,c,110,6,2,290,2,17,1,1,105,25,1,1.25
cinnamon_toast_crunch,general mills,c,120,1,3,210,0,13,9,2,45,25,1,0.75
clusters,general mills,c,110,3,2,140,2,13,7,3,105,25,1,0.5
cocoa_puffs,general mills,c,110,1,1,180,0,12,13,2,55,25,1,1
corn_chex,ralston purina,c,110,2,0,280,0,22,3,1,25,25,1,1
corn_flakes,kelloggs,c,100,2,0,290,1,21,2,1,35,25,1,1
corn_pops,kelloggs,c,110,1,0,90,1,13,12,2,20,25,1,1
count_chocula,general mills,c,110,1,1,180,0,12,13,2,65,25,1,1
cracklin'_oat_bran,kelloggs,c,110,3,3,140,4,10,7,3,160,25,1,0.5
cream_of_wheat_(quick),nabisco,h,100,3,0,80,1,21,0,2,95.28,0,1,1
crispix,kelloggs,c,110,2,0,220,1,21,3,3,30,25,1,1
crispy_wheat_&_raisins,general mills,c,100,2,1,140,2,11,10,3,120,25,1,0.75
double_chex,ralston purina,c,100,2,0,190,1,18,5,3,80,25,1,0.75
froot_loops,kelloggs,c,110,2,1,125,1,11,13,2,30,25,1,1
frosted_flakes,kelloggs,c,110,1,0,200,1,14,11,1,25,25,1,0.75
frosted_mini-wheats,kelloggs,c,100,3,0,0,3,14,7,2,100,25,1,0.8
fruitful_bran,kelloggs,c,120,3,0,240,5,14,12,3,190,25,1.33,0.67
fruity_pebbles,post,c,110,1,1,135,0,13,12,2,25,25,1,0.75
golden_crisp,post,c,100,2,0,45,0,11,15,1,40,25,1,0.88
